state;state_abbreviation;county;fips;party;candidate;votes;fraction_votes
Massachusetts;MA;Dudley;92500080;Republican;John Kasich;124;0.098
Massachusetts;MA;Duxbury;92500082;Republican;Ben Carson;52;0.019
Massachusetts;MA;East Longmeadow;92500087;Republican;Ben Carson;63;0.027999999999999997
Massachusetts;MA;East Longmeadow;92500087;Republican;Marco Rubio;399;0.175
Massachusetts;MA;Egremont;92500090;Republican;Ben Carson;4;0.055999999999999994
Massachusetts;MA;Essex;92500092;Republican;John Kasich;154;0.23399999999999999
Massachusetts;MA;Fairhaven;92500094;Republican;Donald Trump;1004;0.619
Massachusetts;MA;Falmouth;92500096;Republican;Donald Trump;2170;0.499
Massachusetts;MA;Franklin;92500101;Republican;John Kasich;878;0.2
Massachusetts;MA;Groveland;92500116;Republican;Ben Carson;34;0.027999999999999997
Massachusetts;MA;Groveland;92500116;Republican;John Kasich;191;0.157
Massachusetts;MA;Hancock;92500121;Republican;Ted Cruz;24;0.233
Massachusetts;MA;Hardwick;92500124;Republican;Ben Carson;10;0.031
Massachusetts;MA;Harwich;92500126;Republican;John Kasich;380;0.196
Massachusetts;MA;Holyoke;92500137;Republican;John Kasich;323;0.17600000000000002
Massachusetts;MA;Hudson;92500141;Republican;Ben Carson;67;0.028999999999999998
Massachusetts;MA;Hudson;92500141;Republican;Donald Trump;1137;0.489
Massachusetts;MA;Huntington;92500143;Republican;Marco Rubio;43;0.15
Massachusetts;MA;Ipswich;92500144;Republican;John Kasich;459;0.222
Massachusetts;MA;Lenox;92500152;Republican;Marco Rubio;73;0.21899999999999997
Massachusetts;MA;Marion;92500169;Republican;John Kasich;183;0.223
Massachusetts;MA;Marion;92500169;Republican;Marco Rubio;148;0.18
Massachusetts;MA;Marlborough;92500170;Republican;John Kasich;651;0.177
Massachusetts;MA;Melrose;92500178;Republican;Ben Carson;79;0.022000000000000002
Massachusetts;MA;Millville;92500188;Republican;Ted Cruz;44;0.121
Massachusetts;MA;Nahant;92500196;Republican;Donald Trump;280;0.586
Massachusetts;MA;Natick;92500198;Republican;Marco Rubio;890;0.23800000000000002
Massachusetts;MA;Natick;92500198;Republican;Ted Cruz;307;0.08199999999999999
Massachusetts;MA;New Ashford;92500200;Republican;Ben Carson;2;0.071
Massachusetts;MA;New Marlborough;92500205;Republican;Marco Rubio;22;0.182
Massachusetts;MA;New Salem;92500206;Republican;Donald Trump;48;0.43200000000000005
Massachusetts;MA;Norwell;92500219;Republican;Ben Carson;23;0.012
Massachusetts;MA;Pepperell;92500232;Republican;Donald Trump;1001;0.498
Massachusetts;MA;Peru;92500233;Republican;John Kasich;8;0.095
Massachusetts;MA;Phillipston;92500235;Republican;Ben Carson;18;0.078
Massachusetts;MA;Pittsfield;92500236;Republican;Marco Rubio;378;0.17300000000000001
Massachusetts;MA;Provincetown;92500242;Republican;Marco Rubio;12;0.13
Massachusetts;MA;Sandisfield;92500260;Republican;Donald Trump;37;0.569
Massachusetts;MA;Sharon;92500266;Republican;John Kasich;394;0.214
Massachusetts;MA;Sherborn;92500269;Republican;John Kasich;283;0.39299999999999996
Massachusetts;MA;Southwick;92500279;Republican;Donald Trump;758;0.499
Massachusetts;MA;Stoneham;92500284;Republican;Marco Rubio;469;0.14800000000000002
Massachusetts;MA;Wendell;92500319;Republican;Ted Cruz;5;0.114
Massachusetts;MA;Wenham;92500320;Republican;John Kasich;249;0.315
Massachusetts;MA;West Newbury;92500329;Republican;Ted Cruz;78;0.098
Massachusetts;MA;Westfield;92500325;Republican;Donald Trump;2155;0.488
Michigan;MI;Charlevoix;26029;Democrat;Hillary Clinton;1044;0.36700000000000005
Michigan;MI;Genesee;26049;Democrat;Hillary Clinton;31284;0.517
Michigan;MI;Lenawee;26091;Democrat;Bernie Sanders;4256;0.539
Michigan;MI;Macomb;26099;Democrat;Bernie Sanders;46242;0.474
Michigan;MI;Mason;26105;Democrat;Bernie Sanders;1741;0.5770000000000001
Michigan;MI;Oscoda;26135;Democrat;Hillary Clinton;273;0.449
Michigan;MI;Shiawassee;26155;Democrat;Hillary Clinton;3031;0.39399999999999996
Michigan;MI;St. Clair;26147;Democrat;Bernie Sanders;5165;0.5820000000000001
Michigan;MI;Alcona;26001;Republican;Marco Rubio;138;0.064
Michigan;MI;Antrim;26009;Republican;John Kasich;1025;0.21
Michigan;MI;Cass;26027;Republican;Marco Rubio;566;0.078
Michigan;MI;Crawford;26039;Republican;Donald Trump;1108;0.49
Michigan;MI;Crawford;26039;Republican;Ted Cruz;470;0.20800000000000002
Michigan;MI;Eaton;26045;Republican;Marco Rubio;1636;0.105
Michigan;MI;Emmet;26047;Republican;Marco Rubio;677;0.106
Michigan;MI;Genesee;26049;Republican;Donald Trump;16756;0.418
Michigan;MI;Grand Traverse;26055;Republican;Marco Rubio;1890;0.109
Michigan;MI;Houghton;26061;Republican;Donald Trump;1375;0.312
Michigan;MI;Lake;26085;Republican;Donald Trump;803;0.506
Michigan;MI;Luce;26095;Republican;Marco Rubio;66;0.071
Michigan;MI;Shiawassee;26155;Republican;Donald Trump;3864;0.387
Michigan;MI;Tuscola;26157;Republican;Donald Trump;3750;0.424
Mississippi;MS;Franklin;28037;Democrat;Bernie Sanders;120;0.14400000000000002
Mississippi;MS;Lauderdale;28075;Democrat;Bernie Sanders;619;0.156
Mississippi;MS;Winston;28159;Democrat;Hillary Clinton;1442;0.863
Mississippi;MS;Carroll;28015;Republican;Donald Trump;1133;0.5479999999999999
Mississippi;MS;Greene;28041;Republican;Ted Cruz;826;0.382
Mississippi;MS;Hancock;28045;Republican;Donald Trump;4147;0.573
Mississippi;MS;Harrison;28047;Republican;John Kasich;2479;0.1
Mississippi;MS;Lincoln;28085;Republican;Marco Rubio;358;0.057999999999999996
Mississippi;MS;Montgomery;28097;Republican;Marco Rubio;56;0.039
Mississippi;MS;Newton;28101;Republican;Donald Trump;1794;0.46299999999999997
Mississippi;MS;Pike;28113;Republican;Marco Rubio;161;0.037000000000000005
Mississippi;MS;Sunflower;28133;Republican;Ted Cruz;306;0.20800000000000002
Mississippi;MS;Tippah;28139;Republican;Donald Trump;1951;0.489
Mississippi;MS;Tunica;28143;Republican;John Kasich;19;0.071
Mississippi;MS;Winston;28159;Republican;John Kasich;231;0.092
Mississippi;MS;Yalobusha;28161;Republican;Donald Trump;1029;0.545
Missouri;MO;Atchison;29005;Democrat;Bernie Sanders;173;0.546
Missouri;MO;Barry;29009;Democrat;Bernie Sanders;796;0.47
Missouri;MO;Butler;29023;Democrat;Bernie Sanders;766;0.45399999999999996
Missouri;MO;Dallas;29059;Democrat;Hillary Clinton;397;0.429
Missouri;MO;Franklin;29071;Democrat;Bernie Sanders;4784;0.5539999999999999
Missouri;MO;Harrison;29081;Democrat;Bernie Sanders;163;0.5
Missouri;MO;Linn;29115;Democrat;Bernie Sanders;409;0.473
Missouri;MO;Randolph;29175;Democrat;Bernie Sanders;750;0.52
Missouri;MO;Ray;29177;Democrat;Bernie Sanders;968;0.495
Missouri;MO;St. Louis County;29189;Democrat;Hillary Clinton;89373;0.5529999999999999
Missouri;MO;Adair;29001;Republican;Ted Cruz;1164;0.335
Missouri;MO;Andrew;29003;Republican;Donald Trump;1457;0.41700000000000004
Missouri;MO;Benton;29015;Republican;Donald Trump;2278;0.5539999999999999
Missouri;MO;Boone;29019;Republican;John Kasich;3728;0.146
Missouri;MO;Cape Girardeau;29031;Republican;Marco Rubio;694;0.044000000000000004
Missouri;MO;Chariton;29041;Republican;Donald Trump;597;0.423
Missouri;MO;Clay;29047;Republican;Ted Cruz;13559;0.414
Missouri;MO;Grundy;29079;Republican;Marco Rubio;79;0.04
Missouri;MO;Iron;29093;Republican;Marco Rubio;74;0.045
Missouri;MO;LaClede;29105;Republican;John Kasich;453;0.059000000000000004
Missouri;MO;LaClede;29105;Republican;Ted Cruz;3229;0.42
Missouri;MO;Mercer;29129;Republican;Donald Trump;455;0.6
Missouri;MO;Miller;29131;Republican;John Kasich;325;0.064
Missouri;MO;Pemiscot;29155;Republican;John Kasich;98;0.048
Montana;MT;Beaverhead;30001;Democrat;Hillary Clinton;241;0.41700000000000004
Montana;MT;Garfield;30033;Democrat;Bernie Sanders;17;0.5
Montana;MT;Glacier;30035;Democrat;Bernie Sanders;1074;0.5
Montana;MT;Hill;30041;Democrat;Hillary Clinton;867;0.461
Montana;MT;Treasure;30103;Democrat;Hillary Clinton;34;0.425
Montana;MT;Carbon;30009;Republican;Donald Trump;1507;0.779
Montana;MT;Gallatin;30031;Republican;Ted Cruz;1533;0.124
Montana;MT;Lake;30047;Republican;John Kasich;268;0.07
Montana;MT;Park;30067;Republican;Donald Trump;1901;0.7559999999999999
Montana;MT;Roosevelt;30085;Republican;John Kasich;26;0.03
Montana;MT;Sweet Grass;30097;Republican;Ted Cruz;93;0.1
Nebraska;NE;Boone;31011;Democrat;Hillary Clinton;27;0.614
Nebraska;NE;Cheyenne;31033;Democrat;Hillary Clinton;28;0.389
Nebraska;NE;Furnas;31065;Democrat;Hillary Clinton;12;0.48
Nebraska;NE;Howard;31093;Democrat;Bernie Sanders;30;0.41100000000000003
Nebraska;NE;Pawnee;31133;Democrat;Hillary Clinton;29;0.725
Nebraska;NE;Perkins;31135;Democrat;Hillary Clinton;16;0.762
Nebraska;NE;Buffalo;31019;Republican;John Kasich;586;0.099
Nebraska;NE;Cedar;31027;Republican;John Kasich;180;0.125
Nebraska;NE;Clay;31035;Republican;Ted Cruz;177;0.171
Nebraska;NE;Dakota;31043;Republican;Donald Trump;819;0.675
Nebraska;NE;Dodge;31053;Republican;John Kasich;457;0.109
Nebraska;NE;Frontier;31063;Republican;Donald Trump;315;0.716
Nebraska;NE;Hamilton;31081;Republican;John Kasich;206;0.109
Nebraska;NE;Knox;31107;Republican;Donald Trump;642;0.626
Nebraska;NE;Thayer;31169;Republican;Ted Cruz;132;0.175
Nebraska;NE;York;31185;Republican;Donald Trump;1048;0.599
Nevada;NV;Douglas;32005;Democrat;Bernie Sanders;72;0.45899999999999996
Vermont;VT;Sunderland;95000196;Republican;Marco Rubio;20;0.185
Vermont;VT;Sutton;95000197;Republican;Ben Carson;1;0.011000000000000001
Vermont;VT;Tinmouth;95000200;Republican;Marco Rubio;21;0.21899999999999997
Vermont;VT;Townshend;95000202;Republican;Ben Carson;10;0.091
Vermont;VT;Vershire;95000208;Republican;Donald Trump;22;0.361
Vermont;VT;Warren;95000215;Republican;Donald Trump;33;0.273
Vermont;VT;Weston;95000228;Republican;Ted Cruz;5;0.07400000000000001
Vermont;VT;Williamstown;95000235;Republican;Marco Rubio;59;0.163
Virginia;VA;Danville;51590;Democrat;Bernie Sanders;655;0.196
Virginia;VA;Lynchburg;51680;Democrat;Hillary Clinton;3104;0.616
Virginia;VA;Manassas Park;51685;Democrat;Hillary Clinton;581;0.574
Virginia;VA;Mecklenburg;51117;Democrat;Hillary Clinton;1588;0.8029999999999999
Virginia;VA;New Kent;51127;Democrat;Hillary Clinton;951;0.6779999999999999
Virginia;VA;Washington;51191;Democrat;Hillary Clinton;1181;0.541
Virginia;VA;Amherst;51009;Republican;Ted Cruz;1202;0.26899999999999996
Virginia;VA;Appomattox;51011;Republican;John Kasich;82;0.034
Virginia;VA;Augusta;51015;Republican;John Kasich;807;0.059000000000000004
Virginia;VA;Bristol;51520;Republican;Ted Cruz;542;0.242
Virginia;VA;Charles City;51036;Republican;John Kasich;28;0.042
Virginia;VA;Cumberland;51049;Republican;John Kasich;27;0.019
Virginia;VA;Gloucester;51073;Republican;Marco Rubio;1856;0.281
Virginia;VA;Halifax;51083;Republican;Ben Carson;302;0.076
Virginia;VA;Hanover;51085;Republican;Ted Cruz;5396;0.218
Virginia;VA;Highland;51091;Republican;Ted Cruz;87;0.222
Virginia;VA;Lee;51105;Republican;Donald Trump;1089;0.534
Virginia;VA;Loudoun;51107;Republican;Marco Rubio;20845;0.40399999999999997
Virginia;VA;Madison;51113;Republican;Marco Rubio;421;0.193
Virginia;VA;Manassas;51683;Republican;Marco Rubio;1187;0.306
Virginia;VA;Martinsville;51690;Republican;Ben Carson;72;0.07200000000000001
Virginia;VA;Roanoke;51161;Republican;Marco Rubio;4679;0.28600000000000003
Virginia;VA;Rockingham;51165;Republican;John Kasich;845;0.063
Virginia;VA;Shenandoah;51171;Republican;Donald Trump;2400;0.384
Virginia;VA;Smyth;51173;Republican;Ted Cruz;553;0.165
Virginia;VA;Suffolk;51800;Republican;Ben Carson;670;0.071
Virginia;VA;Surry;51181;Republican;Ben Carson;67;0.084
Virginia;VA;Waynesboro;51820;Republican;Donald Trump;910;0.322
Virginia;VA;Westmoreland;51193;Republican;Marco Rubio;443;0.21600000000000003
Washington;WA;Adams;53001;Democrat;Bernie Sanders;17;0.7390000000000001
Washington;WA;Klickitat;53039;Democrat;Bernie Sanders;55;0.833
Washington;WA;Chelan;53007;Republican;Donald Trump;5717;0.782
Washington;WA;Franklin;53021;Republican;Ted Cruz;893;0.154
Washington;WA;Garfield;53023;Republican;Donald Trump;290;0.6759999999999999
Washington;WA;Pacific;53049;Republican;John Kasich;151;0.062
Washington;WA;Pacific;53049;Republican;Ted Cruz;184;0.075
Washington;WA;Stevens;53065;Republican;Ted Cruz;657;0.10400000000000001
Washington;WA;Walla Walla;53071;Republican;Donald Trump;4689;0.768
Washington;WA;Whatcom;53073;Republican;Ted Cruz;2960;0.135
West Virginia;WV;Barbour;54001;Democrat;Hillary Clinton;686;0.35600000000000004
West Virginia;WV;Boone;54005;Democrat;Hillary Clinton;1244;0.268
West Virginia;WV;Hancock;54029;Democrat;Hillary Clinton;1547;0.368
West Virginia;WV;Brooke;54009;Republican;Ted Cruz;176;0.073
West Virginia;WV;Cabell;54011;Republican;Donald Trump;5977;0.693
West Virginia;WV;Gilmer;54021;Republican;Ted Cruz;51;0.094
West Virginia;WV;Grant;54023;Republican;Ted Cruz;158;0.053
West Virginia;WV;Monongalia;54061;Republican;Ted Cruz;851;0.099
West Virginia;WV;Pleasants;54073;Republican;Donald Trump;855;0.753
West Virginia;WV;Preston;54077;Republican;Ted Cruz;429;0.08199999999999999
West Virginia;WV;Wetzel;54103;Republican;John Kasich;80;0.055999999999999994
West Virginia;WV;Wood;54107;Republican;John Kasich;1344;0.10099999999999999
Wisconsin;WI;Eau Claire;55035;Democrat;Bernie Sanders;13058;0.639
Wisconsin;WI;Grant;55043;Democrat;Bernie Sanders;4484;0.593
Wisconsin;WI;Manitowoc;55071;Democrat;Bernie Sanders;6447;0.561
Wisconsin;WI;Ozaukee;55089;Democrat;Hillary Clinton;6572;0.488
Wisconsin;WI;Sauk;55111;Democrat;Bernie Sanders;7195;0.612
Wisconsin;WI;Winnebago;55139;Democrat;Hillary Clinton;11193;0.385
Wisconsin;WI;Adams;55001;Republican;Donald Trump;2279;0.5539999999999999
Wisconsin;WI;Barron;55005;Republican;Ted Cruz;3558;0.396
Wisconsin;WI;Bayfield;55007;Republican;Donald Trump;1599;0.52
Wisconsin;WI;Douglas;55031;Republican;Donald Trump;3676;0.547
Wisconsin;WI;Forest;55041;Republican;Donald Trump;1110;0.562
Wisconsin;WI;Outagamie;55087;Republican;Donald Trump;13848;0.369
Wisconsin;WI;Richland;55103;Republican;John Kasich;503;0.157
Wisconsin;WI;Sawyer;55113;Republican;Ted Cruz;1168;0.309
Wyoming;WY;Converse-Niobrara;95600034;Republican;Marco Rubio;35;0.479
Wyoming;WY;Teton-Sublette;95600028;Republican;John Kasich;0;0.0
Wyoming;WY;Teton-Sublette;95600028;Republican;Marco Rubio;19;0.475
Wyoming;WY;Uinta-Lincoln;95600027;Republican;Ted Cruz;53;1.0
Texas;TX;Foard;48155;Republican;Ben Carson;1;0.032
Texas;TX;Goliad;48175;Republican;John Kasich;33;0.021
Texas;TX;Goliad;48175;Republican;Marco Rubio;176;0.114
Texas;TX;Gonzales;48177;Republican;John Kasich;77;0.023
Texas;TX;Gray;48179;Republican;Ted Cruz;2210;0.488
Texas;TX;Grimes;48185;Republican;Ted Cruz;2207;0.498
Texas;TX;Hale;48189;Republican;John Kasich;97;0.022000000000000002
Texas;TX;Hardeman;48197;Republican;Ted Cruz;290;0.425
Texas;TX;Hidalgo;48215;Republican;Ben Carson;765;0.040999999999999995
Texas;TX;Hood;48221;Republican;John Kasich;471;0.033
Texas;TX;Howard;48227;Republican;Donald Trump;1084;0.285
Texas;TX;Kerr;48265;Republican;Ben Carson;617;0.05
Texas;TX;Kerr;48265;Republican;John Kasich;571;0.046
Texas;TX;Kimble;48267;Republican;Ted Cruz;456;0.408
Texas;TX;La Salle;48283;Republican;Donald Trump;115;0.382
Texas;TX;Liberty;48291;Republican;Ben Carson;411;0.035
Texas;TX;Lynn;48305;Republican;Ben Carson;92;0.067
Texas;TX;Menard;48327;Republican;Ted Cruz;226;0.377
Texas;TX;Milam;48331;Republican;Ben Carson;178;0.043
Texas;TX;Montague;48337;Republican;John Kasich;89;0.018000000000000002
Texas;TX;Motley;48345;Republican;Marco Rubio;42;0.092
Texas;TX;Nueces;48355;Republican;John Kasich;1504;0.054000000000000006
Texas;TX;Oldham;48359;Republican;Ted Cruz;317;0.5489999999999999
Texas;TX;Schleicher;48413;Republican;Ted Cruz;266;0.518
Texas;TX;Starr;48427;Republican;Ben Carson;5;0.039
Texas;TX;Starr;48427;Republican;Donald Trump;29;0.228
Texas;TX;Sterling;48431;Republican;Ted Cruz;163;0.414
Texas;TX;Terrell;48443;Republican;Ted Cruz;42;0.359
Texas;TX;Titus;48449;Republican;Ted Cruz;1890;0.442
Texas;TX;Tom Green;48451;Republican;John Kasich;668;0.04
Texas;TX;Victoria;48469;Republican;John Kasich;349;0.028999999999999998
Texas;TX;Yoakum;48501;Republican;Ben Carson;121;0.077
Utah;UT;Box Elder;49003;Democrat;Bernie Sanders;281;0.755
Utah;UT;Millard;49027;Republican;Donald Trump;199;0.184
Utah;UT;Millard;49027;Republican;Ted Cruz;771;0.7120000000000001
Utah;UT;Weber;49057;Republican;John Kasich;1765;0.168
Vermont;VT;Barre;95000011;Democrat;Hillary Clinton;141;0.11699999999999999
Vermont;VT;Bennington;95000015;Democrat;Bernie Sanders;2121;0.838
Vermont;VT;Brattleboro;95000025;Democrat;Hillary Clinton;422;0.126
Vermont;VT;Brookline;95000031;Democrat;Bernie Sanders;129;0.89
Vermont;VT;Burke;95000034;Democrat;Hillary Clinton;37;0.11699999999999999
Vermont;VT;Fairlee;95000070;Democrat;Hillary Clinton;20;0.071
Vermont;VT;Highgate;95000091;Democrat;Bernie Sanders;360;0.8740000000000001
Vermont;VT;Lyndon;95000113;Democrat;Hillary Clinton;53;0.085
Vermont;VT;Milton;95000122;Democrat;Hillary Clinton;196;0.115
Vermont;VT;Newport Town;95000136;Democrat;Hillary Clinton;19;0.107
Vermont;VT;Richford;95000159;Democrat;Bernie Sanders;258;0.884
Vermont;VT;Underhill;95000205;Democrat;Bernie Sanders;780;0.867
Vermont;VT;Westford;95000224;Democrat;Bernie Sanders;529;0.889
Vermont;VT;Wheelock;95000232;Democrat;Bernie Sanders;134;0.937
Vermont;VT;Windsor;95000239;Democrat;Hillary Clinton;108;0.132
Vermont;VT;Woodford;95000244;Democrat;Bernie Sanders;76;0.884
Vermont;VT;Alburgh;95000003;Republican;Marco Rubio;31;0.14400000000000002
Vermont;VT;Baltimore;95000008;Republican;Ted Cruz;3;0.094
Vermont;VT;Bloomfield;95000020;Republican;John Kasich;7;0.179
Vermont;VT;Cambridge;95000038;Republican;Ted Cruz;32;0.095
Vermont;VT;Chittenden;95000046;Republican;Ted Cruz;20;0.08800000000000001
Vermont;VT;Danville;95000055;Republican;John Kasich;86;0.32
Vermont;VT;Fairfax;95000067;Republican;John Kasich;182;0.29100000000000004
Vermont;VT;Ferrisburg;95000072;Republican;Donald Trump;105;0.264
Vermont;VT;Georgia;95000075;Republican;Donald Trump;205;0.335
Vermont;VT;Glover;95000076;Republican;Ted Cruz;8;0.098
Vermont;VT;Grafton;95000078;Republican;Ben Carson;3;0.027000000000000003
Vermont;VT;Granville;95000081;Republican;Ben Carson;0;0.0
Vermont;VT;Guilford;95000085;Republican;Ted Cruz;14;0.107
Vermont;VT;Hancock;95000087;Republican;Ben Carson;2;0.091
Vermont;VT;Jericho;95000102;Republican;Marco Rubio;139;0.23199999999999998
Vermont;VT;Maidstone;95000114;Republican;Donald Trump;17;0.395
Vermont;VT;Manchester;95000115;Republican;Ben Carson;15;0.028999999999999998
Vermont;VT;Montpelier;95000125;Republican;Ben Carson;20;0.037000000000000005
Vermont;VT;Moretown;95000126;Republican;Marco Rubio;32;0.19399999999999998
Vermont;VT;Mount Tabor;95000130;Republican;Donald Trump;9;0.45
Vermont;VT;Peacham;95000145;Republican;Ted Cruz;10;0.094
Vermont;VT;Poultney;95000152;Republican;Donald Trump;137;0.415
Vermont;VT;Pownal;95000153;Republican;Donald Trump;158;0.516
Vermont;VT;Rochester;95000162;Republican;Ben Carson;7;0.069
Vermont;VT;Rupert;95000166;Republican;John Kasich;13;0.155
Vermont;VT;Searsburg;95000176;Republican;Marco Rubio;1;0.04
Vermont;VT;Sudbury;95000195;Republican;Marco Rubio;7;0.127
Alabama;AL;Etowah;1055;Democrat;Hillary Clinton;4262;0.746
Alabama;AL;Randolph;1111;Democrat;Bernie Sanders;328;0.187
Alabama;AL;Baldwin;1003;Republican;John Kasich;2987;0.059000000000000004
Alabama;AL;Blount;1009;Republican;Donald Trump;7390;0.48700000000000004
Alabama;AL;Chilton;1021;Republican;Ted Cruz;2328;0.218
Alabama;AL;Choctaw;1023;Republican;Donald Trump;1070;0.499
Alabama;AL;Crenshaw;1041;Republican;Donald Trump;1496;0.545
Alabama;AL;Crenshaw;1041;Republican;Marco Rubio;250;0.091
Alabama;AL;Houston;1069;Republican;Ted Cruz;4558;0.225
Alabama;AL;Monroe;1099;Republican;John Kasich;108;0.028999999999999998
Alabama;AL;Morgan;1103;Republican;Ted Cruz;4828;0.19699999999999998
Alabama;AL;Talladega;1121;Republican;Ted Cruz;2468;0.2
Alaska;AK;State House District 17;90200117;Democrat;Bernie Sanders;10;0.7140000000000001
Alaska;AK;State House District 6;90200106;Democrat;Bernie Sanders;12;1.0
Alaska;AK;State House District 10;90200110;Republican;Marco Rubio;83;0.10099999999999999
Alaska;AK;State House District 16;90200116;Republican;Donald Trump;139;0.326
Alaska;AK;State House District 20;90200120;Republican;Marco Rubio;54;0.256
Alaska;AK;State House District 22;90200122;Republican;Ted Cruz;187;0.29600000000000004
Alaska;AK;State House District 3;90200103;Republican;Ben Carson;53;0.098
Alaska;AK;State House District 32;90200132;Republican;Marco Rubio;61;0.14300000000000002
Alaska;AK;State House District 35;90200135;Republican;Ben Carson;28;0.10300000000000001
Alaska;AK;State House District 40;90200140;Republican;Marco Rubio;5;0.23800000000000002
Arizona;AZ;Coconino;4005;Democrat;Bernie Sanders;6941;0.534
Arizona;AZ;Yavapai;4025;Republican;Ted Cruz;10547;0.295
Arkansas;AR;Desha;5041;Democrat;Bernie Sanders;449;0.23
Arkansas;AR;Franklin;5047;Democrat;Hillary Clinton;667;0.672
Arkansas;AR;Greene;5055;Democrat;Hillary Clinton;1236;0.655
Arkansas;AR;Hempstead;5057;Democrat;Bernie Sanders;164;0.166
Arkansas;AR;Hempstead;5057;Democrat;Hillary Clinton;786;0.795
Arkansas;AR;Little River;5081;Democrat;Hillary Clinton;721;0.531
Arkansas;AR;Newton;5101;Democrat;Hillary Clinton;192;0.469
Arkansas;AR;Baxter;5005;Republican;Donald Trump;3798;0.43799999999999994
Arkansas;AR;Bradley;5011;Republican;John Kasich;45;0.026000000000000002
Arkansas;AR;Clark;5019;Republican;Donald Trump;694;0.264
Arkansas;AR;Clay;5021;Republican;Marco Rubio;136;0.163
Arkansas;AR;Conway;5029;Republican;John Kasich;31;0.013999999999999999
Arkansas;AR;Cross;5037;Republican;Ben Carson;139;0.057
Arkansas;AR;Cross;5037;Republican;Marco Rubio;395;0.163
Arkansas;AR;Franklin;5047;Republican;Donald Trump;1229;0.369
Arkansas;AR;Grant;5053;Republican;Ben Carson;125;0.039
Arkansas;AR;Jefferson;5069;Republican;Marco Rubio;712;0.188
Arkansas;AR;Miller;5091;Republican;Ben Carson;448;0.064
Arkansas;AR;Montgomery;5097;Republican;John Kasich;68;0.042
Arkansas;AR;Ouachita;5103;Republican;Ted Cruz;789;0.28800000000000003
Arkansas;AR;Phillips;5107;Republican;Ted Cruz;110;0.172
Arkansas;AR;Pike;5109;Republican;Ted Cruz;501;0.33299999999999996
Arkansas;AR;Poinsett;5111;Republican;Ben Carson;155;0.057999999999999996
Arkansas;AR;Pope;5115;Republican;Ted Cruz;3005;0.314
Arkansas;AR;Searcy;5129;Republican;Donald Trump;939;0.39
Arkansas;AR;Stone;5137;Republican;Ted Cruz;780;0.308
California;CA;San Diego;6073;Democrat;Hillary Clinton;139813;0.551
California;CA;Butte;6007;Republican;Donald Trump;15695;0.804
California;CA;San Joaquin;6077;Republican;John Kasich;2325;0.08199999999999999
California;CA;San Mateo;6081;Republican;Donald Trump;12984;0.6829999999999999
California;CA;Solano;6095;Republican;Donald Trump;17548;0.768
California;CA;Tehama;6103;Republican;Ted Cruz;340;0.073
California;CA;Yuba;6115;Republican;Donald Trump;3210;0.828
Colorado;CO;Elbert;8039;Democrat;Hillary Clinton;89;0.379
Colorado;CO;Jackson;8057;Democrat;Bernie Sanders;12;0.444
Colorado;CO;Jackson;8057;Democrat;Hillary Clinton;15;0.556
Colorado;CO;La Plata;8067;Democrat;Bernie Sanders;1466;0.6409999999999999
Colorado;CO;Logan;8075;Democrat;Hillary Clinton;77;0.513
Colorado;CO;Montrose;8085;Democrat;Hillary Clinton;210;0.447
Colorado;CO;Prowers;8099;Democrat;Hillary Clinton;40;0.69
Connecticut;CT;East Lyme;90900045;Democrat;Bernie Sanders;972;0.484
Connecticut;CT;Milford;90900084;Democrat;Hillary Clinton;2186;0.484
Connecticut;CT;New Milford;90900096;Democrat;Hillary Clinton;882;0.419
Connecticut;CT;North Canaan;90900100;Democrat;Bernie Sanders;186;0.648
Connecticut;CT;Norwalk;90900103;Democrat;Hillary Clinton;4457;0.593
Connecticut;CT;Plainville;90900110;Democrat;Bernie Sanders;839;0.528
Connecticut;CT;Ridgefield;90900118;Democrat;Hillary Clinton;1566;0.594
Connecticut;CT;Tolland;90900142;Democrat;Bernie Sanders;806;0.568
Connecticut;CT;Wallingford;90900148;Democrat;Bernie Sanders;1751;0.508
Connecticut;CT;West Hartford;90900155;Democrat;Bernie Sanders;4429;0.43700000000000006
Connecticut;CT;Westbrook;90900154;Democrat;Hillary Clinton;293;0.485
Connecticut;CT;Wilton;90900161;Democrat;Hillary Clinton;1216;0.654
Connecticut;CT;Andover;90900001;Republican;Ted Cruz;42;0.141
Connecticut;CT;Beacon Falls;90900006;Republican;Donald Trump;344;0.6920000000000001
Connecticut;CT;Columbia;90900030;Republican;Donald Trump;309;0.613
Connecticut;CT;Darien;90900035;Republican;John Kasich;1284;0.498
Connecticut;CT;Greenwich;90900057;Republican;Donald Trump;3007;0.48100000000000004
Connecticut;CT;Hampton;90900063;Republican;John Kasich;45;0.25
Connecticut;CT;Lisbon;90900073;Republican;John Kasich;79;0.253
Connecticut;CT;Monroe;90900085;Republican;Donald Trump;1110;0.619
Connecticut;CT;New Britain;90900089;Republican;Ted Cruz;211;0.151
Connecticut;CT;New Milford;90900096;Republican;Ted Cruz;265;0.125
Connecticut;CT;Newtown;90900097;Republican;Ted Cruz;372;0.127
Connecticut;CT;Plainfield;90900109;Republican;Ted Cruz;107;0.152
Connecticut;CT;Pomfret;90900112;Republican;John Kasich;103;0.303
Connecticut;CT;Ridgefield;90900118;Republican;Ted Cruz;283;0.106
Connecticut;CT;South Windsor;90900132;Republican;John Kasich;624;0.335
